,Brand,Transmission,Fuel,Kms,Price,year
3579,2013 BMW 5 Series,Automatic,Diesel,"46,477 km","18,17,799",2013
3580,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
3581,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
3582,2015 Maruti Swift,Manual,Diesel,"46,168 km","4,16,499",2015
3583,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3584,2014 Maruti Ritz,Manual,Diesel,"70,124 km","2,82,699",2014
3585,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
3586,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
3587,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
3588,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3589,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3590,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3591,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
3592,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
3593,2017 Maruti Vitara Brezza,Manual,Diesel,"81,726 km","7,19,299",2017
3594,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
3595,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
3596,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
3597,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
3598,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
3599,2012 Maruti Swift Dzire,Manual,Petrol,"53,634 km","3,47,399",2012
3600,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3601,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
3602,2014 Maruti Swift Dzire,Manual,Diesel,"80,180 km","3,63,499",2014
3603,2018 Maruti Vitara Brezza,Manual,Diesel,"71,192 km","6,74,099",2018
3604,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3605,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3606,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3607,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3608,2015 Maruti Swift,Manual,Diesel,"89,196 km","4,06,599",2015
3609,2015 Hyundai Grand i10,Manual,Diesel,"1,10,169 km","3,30,799",2015
3610,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
3611,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3612,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3613,2014 Hyundai i20,Manual,Diesel,"72,216 km","3,95,599",2014
3614,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3615,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3616,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3617,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3618,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
3619,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3620,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
3621,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3622,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3623,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3624,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
3625,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3626,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3627,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3628,2017 Maruti Swift Dzire,Manual,Petrol,"65,284 km","5,51,699",2017
3629,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3630,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
3631,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
3632,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3633,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
3634,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3635,2017 Maruti Swift,Manual,Diesel,"52,121 km","5,73,799",2017
3636,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
3637,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
3638,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
3639,2013 BMW 5 Series,Automatic,Diesel,"46,477 km","18,17,799",2013
3640,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
3641,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
3642,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
3643,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3644,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
3645,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
3646,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
3647,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
3648,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3649,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3650,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3651,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
3652,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
3653,2017 Maruti Vitara Brezza,Manual,Diesel,"81,726 km","7,19,299",2017
3654,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
3655,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
3656,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
3657,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
3658,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
3659,2012 Maruti Swift Dzire,Manual,Petrol,"53,634 km","3,47,399",2012
3660,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3661,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
3662,2014 Maruti Swift Dzire,Manual,Diesel,"80,180 km","3,63,499",2014
3663,2018 Maruti Vitara Brezza,Manual,Diesel,"71,192 km","6,74,099",2018
3664,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3665,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3666,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3667,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3668,2015 Maruti Swift,Manual,Diesel,"89,196 km","4,06,599",2015
3669,2015 Hyundai Grand i10,Manual,Diesel,"1,10,169 km","3,30,799",2015
3670,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3671,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3672,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3673,2013 Hyundai i20,Manual,Diesel,"32,431 km","3,63,799",2013
3674,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3675,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3676,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3677,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3678,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
3679,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3680,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
3681,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3682,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3683,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3684,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3685,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3686,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3687,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3688,2017 Maruti Swift Dzire,Manual,Petrol,"65,284 km","5,51,699",2017
3689,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3690,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
3691,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
3692,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3693,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
3694,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3695,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
3696,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
3697,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3698,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
3699,2013 BMW 5 Series,Automatic,Diesel,"46,477 km","18,17,799",2013
3700,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
3701,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
3702,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
3703,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3704,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
3705,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
3706,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
3707,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
3708,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3709,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3710,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
3711,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
3712,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
3713,2017 Maruti Vitara Brezza,Manual,Diesel,"82,543 km","7,85,899",2017
3714,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
3715,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
3716,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
3717,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
3718,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
3719,2012 Maruti Swift Dzire,Manual,Petrol,"53,634 km","3,47,399",2012
3720,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3721,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
3722,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3723,2013 Toyota Innova,Manual,Diesel,"63,967 km","6,59,299",2013
3724,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3725,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3726,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3727,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3728,2015 Maruti Swift,Manual,Diesel,"89,196 km","4,06,599",2015
3729,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
3730,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3731,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
3732,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
3733,2013 Hyundai i20,Manual,Diesel,"37,840 km","3,33,699",2013
3734,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
3735,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3736,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3737,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
3738,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
3739,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
3740,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
3741,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3742,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
3743,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3744,2011 Toyota Corolla Altis,Manual,Petrol,"67,254 km","5,02,299",2011
3745,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
3746,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
