,Brand,Transmission,Fuel,Kms,Price,year
0,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
1,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
2,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3,2018 Maruti Vitara Brezza,Manual,Diesel,"71,192 km","6,74,099",2018
4,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
5,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
6,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
7,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
8,2014 Maruti Swift Dzire,Manual,Diesel,"96,978 km","4,16,399",2014
9,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
10,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
11,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
12,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
13,2014 Hyundai i20,Manual,Diesel,"72,216 km","3,95,599",2014
14,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
15,-,-,-,-,-,-
16,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
17,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
18,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
19,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
20,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
21,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
22,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
23,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
24,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
25,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
26,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
27,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
28,2014 Maruti Swift Dzire,Manual,Diesel,"1,08,818 km","4,17,799",2014
29,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
30,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
31,-,-,-,-,-,-
32,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
33,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
34,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
35,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
36,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
37,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
38,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
39,2013 BMW 5 Series,Automatic,Diesel,"46,477 km","18,17,799",2013
40,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
41,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
42,2015 Maruti Swift,Manual,Diesel,"46,168 km","4,16,499",2015
43,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
44,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
45,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
46,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
47,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
48,-,-,-,-,-,-
49,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
50,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
51,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
52,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
53,2017 Maruti Vitara Brezza,Manual,Diesel,"82,543 km","7,85,899",2017
54,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
55,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
56,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
57,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
58,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
59,2014 Honda Amaze,Manual,Diesel,"90,004 km","3,38,699",2014
60,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
61,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
62,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
63,2018 Maruti Vitara Brezza,Manual,Diesel,"60,395 km","6,81,899",2018
64,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
65,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
66,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
67,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
68,2014 Maruti Swift Dzire,Manual,Diesel,"96,978 km","4,16,399",2014
69,2015 Hyundai Grand i10,Manual,Diesel,"1,10,169 km","3,30,799",2015
70,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
71,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
72,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
73,2013 Hyundai i20,Manual,Diesel,"37,840 km","3,33,699",2013
74,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
75,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
76,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
77,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
78,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
79,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
80,2015 Hyundai Elite i20,Manual,Diesel,"59,041 km","4,84,199",2015
81,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
82,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
83,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
84,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
85,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
86,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
87,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
88,2013 Maruti Swift Dzire,Manual,Petrol,"31,505 km","4,05,499",2013
89,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
90,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
91,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
92,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
93,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
94,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
95,2017 Maruti Swift,Manual,Diesel,"52,121 km","5,73,799",2017
96,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
97,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
98,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
99,2015 Audi A6,Automatic,Diesel,"38,870 km","19,33,399",2015
100,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
101,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
102,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
103,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
104,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
105,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
106,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
107,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
108,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
109,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
110,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
111,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
112,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
113,2017 Maruti Vitara Brezza,Manual,Diesel,"82,543 km","7,85,899",2017
114,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
115,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
116,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
117,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
118,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
119,2014 Honda Amaze,Manual,Diesel,"90,004 km","3,38,699",2014
120,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
121,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
122,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
123,2013 Toyota Innova,Manual,Diesel,"63,967 km","6,59,299",2013
124,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
125,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
126,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
127,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
128,2015 Maruti Swift,Manual,Diesel,"89,196 km","4,06,599",2015
129,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
130,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
131,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
132,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
133,2013 Hyundai i20,Manual,Diesel,"32,431 km","3,63,799",2013
134,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
135,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
136,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
137,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
138,2015 Maruti Swift,Manual,Diesel,"92,086 km","3,90,999",2015
139,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
140,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
141,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
142,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
143,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
144,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
145,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
146,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
147,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
148,2013 Maruti Swift Dzire,Manual,Petrol,"31,505 km","4,05,499",2013
149,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
150,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
151,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
152,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
153,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
154,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
155,2017 Maruti Swift,Manual,Diesel,"52,121 km","5,73,799",2017
156,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
157,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
158,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
159,2015 BMW 5 Series,Automatic,Diesel,"80,744 km","20,43,799",2015
160,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
161,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
162,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
163,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
164,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
165,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
166,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
167,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
168,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
169,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
170,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
171,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
172,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
173,2017 Maruti Vitara Brezza,Manual,Diesel,"81,726 km","7,19,299",2017
174,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
175,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
176,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
177,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
178,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
179,2012 Maruti Swift Dzire,Manual,Petrol,"53,634 km","3,47,399",2012
180,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
181,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
182,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
183,2018 Maruti Vitara Brezza,Manual,Diesel,"60,395 km","6,81,899",2018
184,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
185,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
186,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
187,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
188,2014 Maruti Swift Dzire,Manual,Diesel,"96,978 km","4,16,399",2014
189,2015 Hyundai Grand i10,Manual,Diesel,"1,10,169 km","3,30,799",2015
190,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
191,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
192,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
193,2013 Hyundai i20,Manual,Diesel,"32,431 km","3,63,799",2013
194,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
195,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
196,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
197,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
198,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
199,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
200,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
201,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
202,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
203,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
204,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
205,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
206,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
207,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
208,2014 Maruti Swift Dzire,Manual,Diesel,"1,08,818 km","4,17,799",2014
209,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
210,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
211,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
212,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
213,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
214,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
215,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
216,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
217,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
218,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
219,2015 BMW 5 Series,Automatic,Diesel,"80,744 km","20,43,799",2015
220,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
221,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
222,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
223,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
224,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
225,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
226,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
227,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
228,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
229,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
230,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
231,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
232,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
233,2017 Maruti Vitara Brezza,Manual,Diesel,"82,543 km","7,85,899",2017
234,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
235,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
236,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
237,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
238,-,-,-,-,-,-
239,2012 Maruti Swift Dzire,Manual,Petrol,"53,634 km","3,47,399",2012
240,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
241,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
242,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
243,2018 Maruti Vitara Brezza,Manual,Diesel,"71,192 km","6,74,099",2018
244,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
245,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
246,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
247,-,-,-,-,-,-
248,2014 Maruti Swift Dzire,Manual,Diesel,"96,978 km","4,16,399",2014
249,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
250,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
251,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
252,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
253,2014 Hyundai i20,Manual,Diesel,"72,216 km","3,95,599",2014
254,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
255,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
256,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
257,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
258,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
259,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
260,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
261,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
262,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
263,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
264,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
265,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
266,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
267,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
268,2014 Maruti Swift Dzire,Manual,Diesel,"1,08,818 km","4,17,799",2014
269,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
270,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
271,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
272,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
273,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
274,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
275,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
276,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
277,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
278,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
279,2015 Audi A6,Automatic,Diesel,"38,870 km","19,33,399",2015
280,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
281,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
282,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
283,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
284,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
285,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
286,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
287,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
288,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
289,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
290,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
291,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
292,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
293,2017 Maruti Vitara Brezza,Manual,Diesel,"81,726 km","7,19,299",2017
294,2016 Mahindra Scorpio,Manual,Diesel,"46,876 km","11,57,499",2016
295,2019 MG HECTOR,Automatic,Petrol,"11,155 km","17,43,399",2019
296,2018 Mahindra XUV500,Manual,Diesel,"47,006 km","13,21,999",2018
297,2018 Maruti Vitara Brezza,Automatic,Diesel,"56,040 km","9,46,199",2018
298,2017 Maruti Ciaz,Manual,Diesel,"66,396 km","5,76,599",2017
299,2012 Maruti Swift Dzire,Manual,Petrol,"53,634 km","3,47,399",2012
300,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
301,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
302,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
303,2018 Maruti Vitara Brezza,Manual,Diesel,"60,395 km","6,81,899",2018
304,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
305,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
306,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
307,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
308,2014 Maruti Swift Dzire,Manual,Diesel,"96,978 km","4,16,399",2014
309,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
310,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
311,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
312,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
313,2014 Hyundai i20,Manual,Diesel,"72,216 km","3,95,599",2014
314,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
315,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
316,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
317,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
318,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
319,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
320,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
321,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
322,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
323,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
324,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
325,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
326,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
327,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
328,2017 Maruti Swift Dzire,Manual,Petrol,"65,284 km","5,51,699",2017
329,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
330,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
331,2013 Honda City,Manual,Petrol,"50,978 km","4,89,699",2013
332,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
333,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
334,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
335,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
336,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
337,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
338,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
339,2015 Audi A6,Automatic,Diesel,"38,870 km","19,33,399",2015
340,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
341,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
342,2014 Hyundai Grand i10,Manual,Petrol,"42,956 km","4,25,099",2014
343,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
344,2014 Maruti Ritz,Manual,Diesel,"70,124 km","2,82,699",2014
345,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
346,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
347,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
348,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
349,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
350,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
351,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
352,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
